Classifier,Preprocessing,Accuracy,Precision,Recall/TPR,FPR,FNR,TNR,F1-Score,ROC curve (area),Balanced Accuracy,Time Train
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 5, min_samples_leaf: 2, max_features: log2",Reshape,0.90525834887396,0.062432390666048526,0.9957206478740079,0.9375676093339514,0.0042793521259920884,0.062432390666048526,0.11327632132342633,0.7592423232131795,0.7592423232131795,0.474578857421875
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 5, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9475887688079029,0.10922865013774105,0.9957944258322047,0.8907713498622589,0.004205574167795281,0.10922865013774105,0.18476234855545198,0.7750115912334168,0.7750115912334168,1.4671783447265625
"DTreeClassifier: criterion: entropy, max_depth: 3, min_samples_split: 5, min_samples_leaf: 3, max_features: log2",Reshape,0.9468772702421342,0.10888135593220338,0.9958698650769743,0.8911186440677966,0.004130134923025701,0.10888135593220338,0.18461892171513966,0.7783908916992806,0.7783908916992806,0.5030472278594971
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9566435242396327,0.14870180959874116,0.9970196436154318,0.8512981904012589,0.0029803563845682023,0.14870180959874116,0.24612579762989975,0.8364112253554025,0.8364112253554026,2.2572083473205566
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 2, min_samples_leaf: 1, max_features: log2",Reshape,0.9488320189333513,0.11178460670989569,0.9957999477959613,0.8882153932901043,0.004200052204038694,0.11178460670989569,0.1884057971014493,0.7756394420923621,0.775639442092362,0.6682391166687012
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 2, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9606354056665244,0.16723087339201084,0.9973670394082108,0.8327691266079892,0.0026329605917892376,0.16723087339201084,0.27323008849557523,0.8545031907543824,0.8545031907543825,2.293530225753784
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 2, min_samples_leaf: 2, max_features: log2",Reshape,0.9535803356775339,0.12473052048044349,0.9959536161603438,0.8752694795195565,0.004046383839656136,0.12473052048044349,0.20721412125863392,0.7843930201029513,0.7843930201029512,0.6232547760009766
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 2, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9596168392986871,0.1632450331125828,0.997348624500906,0.8367549668874172,0.002651375499093983,0.1632450331125828,0.2677892449755568,0.8532410843772545,0.8532410843772547,2.2153873443603516
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 2, min_samples_leaf: 3, max_features: log2",Reshape,0.9669340403382239,0.17373865315600592,0.9961097651882221,0.8262613468439941,0.0038902348117778604,0.17373865315600592,0.2715723477973932,0.7959969400012209,0.7959969400012208,0.6682329177856445
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 3, min_samples_leaf: 1, max_features: sqrt",Reshape,0.94759625826649,0.13376371852808264,0.9977102149853708,0.8662362814719173,0.002289785014629182,0.13376371852808264,0.2284706141801742,0.8658636621848373,0.8658636621848373,2.2775046825408936
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 3, min_samples_leaf: 1, max_features: log2",Reshape,0.9339579541794923,0.09165213600697472,0.9961156459849612,0.9083478639930253,0.003884354015038803,0.09165213600697472,0.1601904761904762,0.7860732661707589,0.786073266170759,0.6421058177947998
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 3, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9550482695605934,0.14720965309200604,0.9972574887107832,0.8527903469079939,0.002742511289216729,0.14720965309200604,0.2454111139049535,0.8471953088779182,0.847195308877918,2.201883554458618
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 3, min_samples_leaf: 2, max_features: log2",Reshape,0.9627249646123082,0.14235363226943412,0.995350974192845,0.8576463677305659,0.004649025807154983,0.14235363226943412,0.22609236510651534,0.7579806424802206,0.7579806424802205,0.6560373306274414
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 3, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9594745395855334,0.1619520264681555,0.997293608208604,0.8380479735318445,0.0027063917913960275,0.1619520264681555,0.2657076943954404,0.8505521930364524,0.8505521930364524,2.2553908824920654
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 3, min_samples_leaf: 3, max_features: log2",Reshape,0.9724013451067622,0.19862139392392136,0.995787167062745,0.8013786060760786,0.004212832937255023,0.19862139392392136,0.2968899065063919,0.7819342137170684,0.7819342137170684,0.6458616256713867
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 5, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9603957429917391,0.16789544235924933,0.9974755591793215,0.8321045576407506,0.002524440820678463,0.16789544235924933,0.27482172243554576,0.859616217049685,0.859616217049685,2.252129316329956
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 5, min_samples_leaf: 1, max_features: log2",Reshape,0.9600662068139094,0.14817415730337077,0.9962448660277723,0.8518258426966292,0.003755133972227655,0.14817415730337077,0.24045584045584045,0.8003797180199367,0.8003797180199367,0.664024829864502
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 5, min_samples_leaf: 2, max_features: sqrt",Reshape,0.9522022752975188,0.14289748658571025,0.9975324069314057,0.8571025134142898,0.002467593068594342,0.14289748658571025,0.2407803949559838,0.8592170656596066,0.8592170656596066,2.332442283630371
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 5, min_samples_leaf: 2, max_features: log2",Reshape,0.956501224526479,0.13520989261308167,0.9961295387634936,0.8647901073869183,0.0038704612365063787,0.13520989261308167,0.2224899598393574,0.7937191780773394,0.7937191780773394,0.7110607624053955
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 5, min_samples_leaf: 3, max_features: sqrt",Reshape,0.9572127230922477,0.15468135326514557,0.9973184656276048,0.8453186467348545,0.002681534372395137,0.15468135326514557,0.2560229196509963,0.8509054034230293,0.8509054034230292,2.2455570697784424
"DTreeClassifier: criterion: entropy, max_depth: 5, min_samples_split: 5, min_samples_leaf: 3, max_features: log2",Reshape,0.9621033395495839,0.16293756766510284,0.996710397799639,0.8370624323348972,0.003289602200360997,0.16293756766510284,0.26303524614040197,0.8234663006484851,0.8234663006484851,0.7423181533813477
"DTreeClassifier: criterion: entropy, max_depth: 7, min_samples_split: 2, min_samples_leaf: 1, max_features: sqrt",Reshape,0.9666494409119165,0.19976971790443293,0.9977944041773829,0.8002302820955671,0.0022055958226170993,0.19976971790443293,0.3185921958684009,0.877354972062088,0.8773549720620879,2.861996650695801
